nbr,Season,Week,team,powerrank,offencescoringrank,offencepassingrank,offencerushingrank,offencetotalrank,defencescoringrank,defencepassingrank,defencerushingrank,defencetotalrank
1,2015,1,Arizona,10,7,6,11,4,11,30,1,28
2,2015,1,Atlanta,23,15,7,12,6,17,29,2,25
3,2015,1,Baltimore,8,28,32,25,32,10,2,5,2
4,2015,1,Buffalo,18,13,18,5,16,7,21,4,11
5,2015,1,Carolina,19,21,30,13,27,2,5,15,7
6,2015,1,Chicago,25,17,17,2,7,27,13,26,14
7,2015,1,Cincinnati,11,3,11,8,9,5,10,3,3
8,2015,1,Cleveland,27,30,16,14,20,28,7,29,16
9,2015,1,Dallas,6,11,2,22,3,18,14,18,9
10,2015,1,Denver,5,23,31,27,31,6,1,8,1
11,2015,1,Detroit,12,10,14,28,23,29,32,14,32
12,2015,1,Green Bay,3,8,20,7,19,16,16,31,26
13,2015,1,Houston,20,19,8,16,10,20,19,16,15
14,2015,1,Indianapolis,4,25,12,29,22,21,15,28,17
15,2015,1,Jacksonville,31,31,28,18,26,12,3,21,6
16,2015,1,Kansas City,14,12,13,17,18,13,25,17,23
17,2015,1,Miami,15,24,24,24,28,4,12,30,19
18,2015,1,Minnesota,17,32,27,26,29,14,4,32,22
19,2015,1,New England,2,9,9,21,12,15,28,27,31
20,2015,1,New Orleans,16,22,3,32,5,25,27,22,29
21,2015,1,NY Giants,21,14,19,15,24,22,31,12,30
22,2015,1,NY Jets,26,6,26,4,17,3,17,19,13
23,2015,1,Oakland,28,27,23,31,30,30,22,25,24
24,2015,1,Philadelphia,9,16,4,30,8,19,26,20,27
25,2015,1,Pittsburgh,7,18,5,6,2,23,24,11,21
26,2015,1,San Diego,13,4,1,19,1,24,20,6,10
27,2015,1,San Francisco,24,20,29,1,11,1,6,7,4
28,2015,1,Seattle,1,5,15,9,15,31,23,10,20
29,2015,1,St Louis,22,2,10,23,13,26,18,24,18
30,2015,1,Tampa Bay,29,26,25,20,25,32,11,23,12
31,2015,1,Tennessee,30,1,22,10,21,8,8,13,8
32,2015,1,Washington,32,29,21,3,14,9,9,9,5
